Nr,Success,Iteration,Total points,Tærskel,Minimum_inliers,Maximum_iterations,Found_inliers,Avg_Dist2,Time_spent,Added_outliers
0,True,0,299,5,280,200,299,0.08468509930278578,0.0025894999998854473,0
1,True,5,299,5,280,200,299,0.13040632099669966,0.01362429999971937,0
2,True,0,299,5,280,200,298,0.28410372170281084,0.002376299999014009,0
3,True,1,299,5,280,200,299,0.17924019840989855,0.0046392000003834255,0
4,True,3,299,5,280,200,299,0.13112593082981003,0.00863980000031006,0
5,True,0,299,5,280,200,299,0.11991870392676421,0.0023278000007849187,0
6,True,1,299,5,280,200,299,0.21232750442942128,0.0043550000009418,0
7,True,0,299,5,280,200,299,0.0775395545060898,0.0023455999998986954,0
8,True,1,299,5,280,200,299,0.3011009751094282,0.004657299999962561,0
9,True,0,299,5,280,200,285,0.3073994368785032,0.002304300000105286,0
10,True,4,299,5,280,200,286,0.4003504979964569,0.011341299999912735,0
11,True,0,299,5,280,200,299,0.26817689392409566,0.002322100001038052,0
12,True,0,299,5,280,200,299,0.211130889909822,0.0023223999996844213,0
13,True,8,299,5,280,200,285,0.4403623562607797,0.019342400000823545,0
14,True,2,299,5,280,200,299,0.43321947833509955,0.0067698999991989695,0
15,True,1,299,5,280,200,298,0.2992870104715696,0.004391599999507889,0
16,True,1,299,5,280,200,281,0.8484386789859939,0.004415399998833891,0
17,True,1,299,5,280,200,299,0.104028737117734,0.00445199999921897,0
18,True,2,299,5,280,200,296,0.7740776531200979,0.006606799999644863,0
19,True,0,299,5,280,200,299,0.25920160188180935,0.002387099999396014,0
20,True,0,299,5,280,200,299,0.1276406829906871,0.002291900000273017,0
21,True,0,299,5,280,200,291,0.903383865593716,0.0023753999994369224,0
22,True,2,299,5,280,200,297,0.4205380530800666,0.006835199999841279,0
23,True,3,299,5,280,200,299,0.06160485967162195,0.008739699998841388,0
24,True,0,299,5,280,200,288,0.33367871245356434,0.002312799999344861,0
25,True,1,299,5,280,200,294,0.6324530675108665,0.004455499998584855,0
26,True,1,299,5,280,200,299,0.4456122760093146,0.004227299999911338,0
27,True,2,299,5,280,200,299,0.34118328995881836,0.0067841000000044005,0
28,True,0,299,5,280,200,299,0.2775040827637873,0.002300699999977951,0
29,True,1,299,5,280,200,299,0.14981082527039463,0.0044161999994685175,0
30,True,0,299,5,280,200,299,0.06673735591999307,0.0023373000003630295,0
31,True,0,299,5,280,200,284,0.8125739059599554,0.002268000000185566,0
32,True,3,299,5,280,200,299,0.07186216860551117,0.008808300000964664,0
33,True,1,299,5,280,200,299,0.1261880367148519,0.004329699999289005,0
